Walter Binder	PLDI
Martin Hirzel	PLDI
Suresh Jagannathan	PLDI
Gabriele Keller	PLDI
Shriram Krishnamurthi	PLDI
Kathryn S. McKinley	PLDI
Louis-Noël Pouchet	PLDI
Michael Pradel	PLDI
Shaz Qadeer	PLDI
Zhendong Su	PLDI
Saman P. Amarasinghe	PLDI
Rastislav Bodík	PLDI
Satish Chandra	PLDI
Albert Cohen 0001	PLDI
Isil Dillig	PLDI
Ranjit Jhala	PLDI
James R. Larus	PLDI
Andrew C. Myers	PLDI
Erez Petrank	PLDI
Eran Yahav	PLDI
Isil Dillig	CAV
Nir Piterman	CAV
Cesare Tinelli	CAV
Nikolaj Bjørner	CAV
Arie Gurfinkel	CAV
Ufuk Topcu	CAV
Wei-Ngan Chin	CAV
Alan J. Hu	CAV
Franjo Ivaňcíc	CAV
Grigore Roşu	CAV
Margus Veanes	CAV
Christel Baier	CAV
Natasha Sharygina	CAV
Aarti Gupta	CAV
Eran Yahav	CAV
Rajeev Alur	CAV
Patrice Godefroid	CAV
Koushik Sen	CAV
Gilles Barthe	CAV
Chris Hawblitzel	CAV
Joao Marques-Silva	CAV
Mayur Naik	CAV
Roderick Bloem	CAV
Adam Chlipala	CAV
Ranjit Jhala	CAV
Natarajan Shankar	CAV
Hongseok Yang	CAV
Sanjit A. Seshia	CAV
Klaus Havelund	CAV
Alan Jeffrey	POPL
Andreas Podelski	POPL
David A. Naumann	POPL
Gavin M. Bierman	POPL
P. Madhusudan	POPL
Martin Erwig	POPL
Matthew J. Parkinson	POPL
Mayur Naik	POPL
Nate Foster	POPL
Nikhil Swamy	POPL
Peter Selinger	POPL
Scott Owens	POPL
Suresh Jagannathan	POPL
Swarat Chaudhuri	POPL
Stephanie Weirich	POPL
Alexander Aiken	TOP
Benjamin C. Pierce	TOP
Cormac Flanagan	TOP
David Walker	TOP
Jan Vitek	TOP
Kathryn S. McKinley	TOP
Martin C. Rinard	TOP
Martin Odersky	TOP
Matthias Felleisen	TOP
Michael W. Hicks	TOP
Peter Sewell	TOP
Philip Wadler	TOP
Rastislav Bodík	TOP
Robert Harper 0001	TOP
Rupak Majumdar	TOP
Shmuel Sagiv	TOP
Simon L. Peyton Jones	TOP
Steve Zdancewic	TOP
Sumit Gulwani	TOP
Thomas W. Reps	TOP
Zhendong Su	TOP
Alexander Aiken	NEWTOP
Benjamin C. Pierce	NEWTOP
David Walker	NEWTOP
Martin Odersky	NEWTOP
Matthias Felleisen	NEWTOP
Philip Wadler	NEWTOP
Robert Harper 0001	NEWTOP
Shmuel Sagiv	NEWTOP
Simon L. Peyton Jones	NEWTOP
Xavier Leroy	NEWTOP
Thomas W. Reps	NEWTOP
J. Eliot B. Moss	NEWTOP
James R. Larus	NEWTOP
Frank Pfenning	NEWTOP
Gul Agha	NEWTOP
Andrew D. Gordon	NEWTOP
Keshav Pingali	NEWTOP
Sriram K. Rajamani	NEWTOP
Cristina V. Lopes	NEWTOP
Andrew C. Myers	NEWTOP
